country_code,country_name,adm_div_name,adm_div_code,area,pop_gpw,builtup_fraction,builtup_km2_2020,builtup_volume_2020,burned_area_pixels_2020,cloud_fraction_mean,co2_emissions_2020,cropland_area_km2,elevation_mean_m,et_mean_mm_2020,et_total_mm_km2_2020,forest_area_km2,forest_fraction,forest_loss_pixels,gdp_per_capita_2020,gdp_total_2020,ndvi_mean_2020,nightlights_per_km2,nightlights_sum_2020,pm25_annual_2019,pm25_total_2019,pop_ghsl,pop_wp,precip_annual_mm,precip_total_mm_km2,ruggedness_mean,soil_organic_carbon_g_per_kg,temp_annual_mean_C,travel_time_to_city_min,tree_cover_km2_2000,tree_cover_pct_2000,urban_area_km2,urban_fraction,water_area_km2,water_occurrence_pct
CHN,China,Anhui Sheng,CHN001,140511.94374274855,60002667.068016686,0.0272135863126392,3823.833909,18799778462.0,128.0,7175.991760299626,488014203.4975586,80541.35900173709,118.828243438002,152.8824851545777,21481815.153291613,13813.614305016696,0.0983091823874195,23230.23529411765,14304.050936329588,858281206056.5366,5063.65790175725,8.132112257246954,1142658.9,41.24776743913858,5795803.977922215,62259704.23326072,59812325.42959739,1117.68136588456,157047581.20548964,35.994220295212045,3.266654371644412,15.581653960808907,57.81655392699439,24324.393648950027,17.3112640826345,5210.685383916707,0.0370835762791561,105267.16656308043,74.9168816252412
CHN,China,Hebei Sheng,CHN010,188294.70617194564,77665773.49705638,0.0383793444909749,7226.627394,43903902339.0,1017.0,5674.87067209776,786597092.746994,90340.23347426608,553.1427404325381,103.61793238013423,19510708.131661907,7806.59843607254,0.0414594684831116,4916.247058823529,11181.819663779928,868444673292.063,4118.162221413476,7.967090687244778,1500161.0,40.73113305117108,7669456.729920682,77069820.07105264,77519302.9732592,504.3614769841475,94968596.11317858,53.756828409180386,3.345964753250301,9.074794689983536,61.236448315356704,8693.809722849686,4.617129126779982,13812.737634561909,0.0733570152628109,132613.20872284813,70.42853801834946
CHN,China,Henan Sheng,CHN012,166679.44923642822,98139540.9140223,0.0391145379581391,6519.589644,36600426577.0,1459.0,6907.58261405672,697297282.3114319,118647.09246022077,249.52610944776777,134.90167067442292,22485336.169086833,14527.215839515393,0.0871566105243671,5165.419607843137,12487.103575832303,1225478612278.0286,5116.687706930453,8.470875122686817,1411920.8,50.83902011405672,8473819.872330671,98713454.55253424,98049506.4972783,749.250975683101,124884739.96671575,37.43908869828918,2.647683863752973,14.159603534766728,53.3831274798944,15104.161017644621,9.061801611919154,10797.369634690584,0.0647792495364857,103843.35583196265,62.30123527986041
CHN,China,Heilongjiang Sheng,CHN011,447857.2431864961,40188886.00662634,0.0076738936643006,3436.808861,18692464139.0,54292.0,6167.763484708063,195416905.01031047,190347.2416266544,315.5145429971059,115.41972597384448,51691560.28398681,128616.31898440466,0.2871815091552431,54009.53333333333,9728.0,390957483072.461,4022.9806423286377,3.848871992636726,1723745.2,20.906257240500462,9363018.73307826,39416375.05738634,40283373.731535345,553.9669034370124,248098090.18986028,33.63585097705622,12.819747905651932,0.86943598357589,229.14143768229977,123168.26713658651,27.5016802810303,4571.048785691785,0.0102064862302301,318439.1781575626,71.10283086902284
CHN,China,Jilin Sheng,CHN017,191709.91203559097,28210603.008699857,0.0121985256430864,2338.578278,12485208702.0,62848.0,5914.744878957169,162719219.23494536,86043.14307000439,407.2895894088751,116.9107811329924,22412955.5670182,68149.83433880804,0.3554841458909857,10743.86666666666,11455.28119180633,323160390055.0746,4025.425968012793,4.998964580517266,958351.06,29.409803450884542,5638150.832553095,27676609.27406241,28169852.36098388,626.1308552822949,120035491.1889381,41.86067395319893,7.417836580703545,3.909233989428832,127.96171155794012,43318.51582550371,22.595866518086776,3047.7910929079567,0.0158979317268798,129044.14116357698,67.3121904826809
CHN,China,Liaoning Sheng,CHN018,146977.83352355237,45766360.59858022,0.0252034429831652,3704.347447,22949477578.0,2732.0,5574.667929292929,422571932.73968506,72177.15144043381,236.97642145289515,112.27376023913412,16501754.041490689,21639.96255382024,0.1472328312034383,12944.254901960783,13312.171717171715,609249651158.3015,4193.197871101111,7.669502080525395,1127246.8,32.31256904987374,4749231.3945306325,45332001.32801787,45770213.509235054,700.0766578778926,102895750.47530182,43.69018932160282,4.479343220544202,7.5796328305050835,52.339079558411704,13546.940676466884,9.216995754870794,6362.805441427547,0.0432909186976684,107528.4649253796,73.15964751116621
CHN,China,Nei Mongol Zizhiqu,CHN019,1150714.825321643,26974138.653943382,0.0024385490864043,2806.074586,14511923542.0,25034.0,4838.483280562205,639800973.8726392,70076.3688245445,999.6379476477604,79.75102672266604,91770688.78439432,44079.54117298078,0.0383062251419763,27852.37254901961,16225.034211135997,437656322476.1573,2335.9128425535055,2.6343303599592423,3031363.0,20.337583983319178,23402759.40082937,26111637.22732467,26839104.81148955,299.26207607072246,344365307.5911136,31.458474756179218,4.939611782629615,3.1160537763791245,360.8907803256639,61819.90497754375,5.37230455515024,3458.5633358867835,0.0030055781500165,800894.2291639844,69.59971415507937
CHN,China,Shandong Sheng,CHN023,155336.84943743775,101454967.9469141,0.0576224499429222,8950.889831,55002218140.0,1470.0,6465.682989690722,1128259756.717041,127277.49528727953,91.5472799553857,115.50870503324852,17942758.322463132,623.5755288777754,0.0040143438671255,2089.1725490196077,16385.67525773196,1662408158061.7395,4366.439837537704,13.00271318309104,2019800.5,50.79074379832474,7889674.122215846,98952261.9767543,101547979.6172866,672.5184129766077,104466891.46045189,19.12979168174077,1.9409234473143904,13.003516850272124,28.587881284910875,1140.2498657057502,0.73404982129819,14659.989810198913,0.0943754805333763,105695.07430424572,68.04249905095098
CHN,China,Tianjin Shi,CHN027,12150.469968355015,17150719.18586543,0.0775522628716535,942.296441,7158760406.0,79.0,6035.5478515625,144425803.35302734,6713.51970090845,19.924418582874612,87.78048373395397,1066574.1314170836,64.28460831391652,0.0052907096171046,141.43529411764706,22435.171875,384779332714.751,3492.6283950853617,39.48954001364934,479816.47,50.94853210449219,619048.6092674037,15838996.703624304,17105330.713252667,553.7863005183744,6728763.813334934,7.245817212890078,2.735688944696227,12.013610816313829,15.655002840710742,119.76417137494803,0.9856752182167834,2981.7432101617583,0.245401471542046,7879.672530060705,64.85076339090354
JPN,Japan,Aiti,JPN001,5204.4684403835745,7690338.582643939,0.1318631093379097,686.277391,7545997179.0,0.0,6995.1141581632655,49921301.6171875,188.03462075801357,210.20067119518728,152.52435733571232,793808.2041435017,2159.0418340874544,0.4148438709579975,248.4313725490196,46936.73469387755,360959381759.6489,5672.333067468741,44.071699661050346,229369.77,17.392823511240433,90520.40105341226,7781063.296939475,7703813.962473368,1882.01141267662,9794869.001717176,52.311459879030615,7.0277588248721825,14.5689076772166,6.703914597050207,2062.1547240829827,39.62277315550404,2407.991099170129,0.4626776253431672,4556.727850298409,87.55414510617292
